Artist Display Name,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender
Timothy Sage,American,,9999,
INK or IVK,American,,,
"Corning Glass Works, Steuben Division",American,1918,2002,
Chelsea Keramic Art Works,American,1872,1889,
William W. Gilbert,American,1746,1832,
C. Ihmsen Company,American,,9999,
South Boston Flint Glass Works,American,,9999,
Henry Will,American,1734,1802,
William F. Ladd,American,1829,1890,
Harvey Lewis,American,1780,1835,
"Ball, Tompkins and Black",American,1839,1851,
John C. Moore,American,1799,1874,
Thomas Shields,American,1742,1742,
Hugh Wishart,American,1793,1824,
R. G.,American,,9999,
Daniel Van Voorhis,American,1751,1824,
J. Dunn,,,9999,
Faience Manufacturing Company,American,1881,1892,
Edward Lycett,American,1833,1910,
Rose factory,,1662,1854,
Henry Joseph,,,9999,
I. T.,American,,9999,
Chelsea Factory,,1742,1784,
James Adam,American,1755,1798,
John Adam,,1775,1848,
Thomas Arnold,American,1739,1828,
Samuel Casey,American,1718,1780,
Central Glass Company,American,,9999,
John David Jr.,American,1772,1809,
Elias Davis,American,1743,1783,
W. O. Davis,,,9999,
John W. Forbes,American,1781,1864,
Joseph Moulton,,1744,1816,
J. H.,American,,9999,
W. H.,American,,9999,
Alonzo C. Young,American,,9999,
Boston Silver Glass Company,American,1857,1871,
Peter Young,American,1749,1813,
"Charters, Cann & Dunn",American,1848,1854,
Boyce and Jones,American,1825,1829,
John Crawford,American,1815,1841,
Garret Forbes,American,1785,1851,
William G. Forbes,American,1751,1840,
George B. Foster,American,1810,1881,
William B. Heyer,American,1804,1822,
Hyde and Nevins,American,1811,1819,
John Letelier Sr.,American,1740,1798,
Robert and William Wilson,American,1825,1846,
American Art China Company,American,1891,1894,
Louis Friedrich Vaupel,American,1824,1930,
Joseph Dubois,American,1767,1798,
Teunis Denise Dubois,American,1773,1843,
Lewis and Smith,American,1802,1811,
Moravian Pottery and Tile Works,,1899,9999,
Henry Chapman Mercer,American,1856,1930,
Richard Chaffers & Company,,,9999,
Ralph Hall & Son,,1836,1841,
William Cowell Sr.,American,1682,1736,
John Dixwell,American,1680,1725,
Paul Lambert,American,1691,1749,
Joseph Loring,American,1743,1815,
Andrew Tyler,American,1692,1741,
Glasgow Pottery Company,American,1856,1906,
Rudolph T. Lux,American,1815,1868,
Emily Drayton Taylor,,1860,1952,
Edward Greene Malbone,American,1777,1807,
Fort Pitt Glass Works,American,,9999,
Ralph Stevenson & Williams,,1822,1827,
George C. Flint and Company,American,1865,1920,
Keene Glass Works,American,1815,1815,
Jersey Glass Company of George Dummer,American,1824,1862,
George Franklin Lapham,,1836,1880,
Louis Boudo,American,1786,1827,
H. P. Sinclaire and Company,American,1904,1928,
James Harvey Putnam,American,1803,1855,
"Weller, Brown and Mesmer",,,9999,
Leopold Eidlitz,American,1823,1906,
Harvey Ellis,American,1852,1904,
Nehemiah Adams,American,1769,1840,
John Davey,American,1794,1822,
John Davey Jr.,,,9999,
Nathaniel Gould,American,1734,1782,
Robert Fisher,American,1824,1837,
Bow Porcelain Factory,British,1747,1776,
Martin Benedict,American,1823,1847,
George Coldwell,American,1761,1811,
John Burt Lyng,American,1758,1785,
J. Pouyat,French,,9999,
Anna B. Leonard,American,,9999,Female
Maud Mason,American,,9999,Female
Haviland & Co.,American and French,1864,1931,
William Lycett Studios,American,1883,1909,
Nathaniel Austin,American,1741,1816,
Richard Austin,American,1767,1817,
Thomas Badger,American,1764,1826,
Frederick Bassett,American,1740,1800,
Daniel Curtiss,American,1799,1872,
Joseph Danforth,American,1758,1788,
John Danforth,American,1741,1799,
"Thomas Danforth, I",,1703,1786,
"Thomas Danforth, III",American,1756,1840,
Simon Edgell,American,1687,1742,
